,artist,year_inducted,artist_link,tombstone,birthplace,birth,death,lifespan,age_inducted
0,Roy Acuff,1962-01-01,https://countrymusichalloffame.org/artist/roy-acuff/,"Birth: September 15, 1903 - Death: November 23, 1992 ","  Maynardville, Tennessee ",1903-09-15,1992-11-23,89.19279656666461,58.29825389980629
1,Alabama,2005-01-01,https://countrymusichalloffame.org/artist/alabama/,,,,,,
2,Bill Anderson,2001-01-01,https://countrymusichalloffame.org/artist/bill-anderson/,"Birth: November 1, 1937 ","  Columbia, South Carolina ",,,,
3,Eddy Arnold,1966-01-01,https://countrymusichalloffame.org/artist/eddy-arnold/,"Birth: May 15, 1918 - Death: May 8, 2008 ","  Henderson, Tennessee ",1918-05-15,2008-05-08,89.98405169168429,47.63410610758606
4,Chet Atkins,1973-01-01,https://countrymusichalloffame.org/artist/chet-atkins/,"Birth: June 20, 1924 - Death: June 30, 2001 ","  Luttrell, Tennessee ",1924-06-20,2001-06-30,77.02827573461468,48.534877512885274
5,Gene Autry,1969-01-01,https://countrymusichalloffame.org/artist/gene-autry/,"Birth: September 29, 1907 - Death: October 2, 1998 ","  Tioga, Texas ",1907-09-29,1998-10-02,91.01076681930498,61.26066928136786
6,DeFord Bailey,2005-01-01,https://countrymusichalloffame.org/artist/deford-bailey/,"Birth: December 14, 1899 - Death: July 2, 1982 ","  Smith County, Tennessee ",1899-12-14,1982-07-02,82.54789626070351,105.05075395114206
7,Bobby Bare,2013-01-01,https://countrymusichalloffame.org/artist/bobby-bare/,"Birth: April 7, 1935 ","  Lawrence County, Ohio ",,,,
8,Johnny Bond,1999-01-01,https://countrymusichalloffame.org/artist/johnny-bond/,"Birth: June 1, 1915 - Death: June 12, 1978 ","  Enville, Oklahoma ",1915-06-01,1978-06-12,63.03209511488942,83.58830092335914
9,Bobby Braddock,2011-01-01,https://countrymusichalloffame.org/artist/bobby-braddock/,"Birth: August 5, 1940 ","  Lakeland, Florida ",,,,
10,Harold Bradley,2006-01-01,https://countrymusichalloffame.org/artist/harold-bradley/,"Birth: January 2, 1926 ","  Nashville, Tennessee ",,,,
11,Jerry Bradley,2019-01-01,https://countrymusichalloffame.org/artist/jerry-bradley/,"Birth: January 30, 1940 ","  Nashville, TN ",,,,
12,Owen Bradley,1974-01-01,https://countrymusichalloffame.org/artist/owen-bradley/,"Birth: October 21, 1915 - Death: January 7, 1998 ","  Westmoreland, Tennessee ",1915-10-21,1998-01-07,82.2166095128579,58.19968924755471
13,Rod Brasfield,1987-01-01,https://countrymusichalloffame.org/artist/rod-brasfield/,"Birth: August 22, 1910 - Death: September 12, 1958 ","  Smithville, Mississippi ",1910-08-22,1958-09-12,48.05848169366927,76.36296433191647
14,Garth Brooks,2012-01-01,https://countrymusichalloffame.org/artist/garth-brooks/,"Birth: February 7, 1962 ","  Tulsa, Oklahoma ",,,,
15,Brooks & Dunn,2019-01-01,https://countrymusichalloffame.org/artist/brooks-dunn/,,,,,,
16,Jim Ed Brown,2015-01-01,https://countrymusichalloffame.org/artist/jim-ed-brown/,"Birth: April 1, 1934 - Death: June 11, 2015 ","  Sparkman, Arkansas ",1934-04-01,2015-06-11,81.19537019925119,80.75456717112603
17,Jim Ed Brown and the Browns,2015-01-01,https://countrymusichalloffame.org/artist/jim-ed-brown-and-the-browns/,,,,,,
18,Boudleaux and Felice Bryant,1991-01-01,https://countrymusichalloffame.org/artist/boudleaux-and-felice-bryant/,,,,,,
19,Glen Campbell,2005-01-01,https://countrymusichalloffame.org/artist/glen-campbell/,"Birth: April 22, 1936 - Death: August 8, 2017 ","  Delight, Arkansas ",1936-04-22,2017-08-08,81.29667275850976,68.69682471234864
20,Bill Carlisle,2002-01-01,https://countrymusichalloffame.org/artist/bill-carlisle/,"Birth: December 19, 1908 - Death: March 17, 2003 ","  Wakefield, Kentucky ",1908-12-19,2003-03-17,94.24149708755142,93.03681800447647
21,Carter Family,1970-01-01,https://countrymusichalloffame.org/artist/carter-family/,,,,,,
22,Johnny Cash,1980-01-01,https://countrymusichalloffame.org/artist/johnny-cash/,"Birth: February 26, 1932 - Death: September 12, 2003 ","  Kingsland, Arkansas ",1932-02-26,2003-09-12,71.54424799961669,47.84766285413116
23,Roy Clark,2009-01-01,https://countrymusichalloffame.org/artist/roy-clark/,"Birth: April 15, 1933 - Death: November 15, 2018 ","  Meherrin, Virginia ",1933-04-15,2018-11-15,85.58697303846075,75.71681827826718
24,Cowboy Jack Clement,2013-01-01,https://countrymusichalloffame.org/artist/cowboy-jack-clement/,"Birth: April 5, 1931 - Death: August 8, 2013 ","  Whitehaven, Tennessee ",1931-04-05,2013-08-08,82.34529114218635,81.74568950765587
25,Patsy Cline,1973-01-01,https://countrymusichalloffame.org/artist/patsy-cline/,"Birth: September 8, 1932 - Death: March 5, 1963 ","  Winchester, Virginia ",1932-09-08,1963-03-05,30.486594522817033,40.315680677905775
26,Hank Cochran,2014-01-01,https://countrymusichalloffame.org/artist/hank-cochran/,"Birth: August 2, 1935 - Death: July 15, 2010 ","  Isola, Mississippi ",1935-08-02,2010-07-15,74.95294222331738,78.41913249416484
27,Paul Cohen,1976-01-01,https://countrymusichalloffame.org/artist/paul-cohen/,"Birth: November 10, 1908 - Death: April 1, 1970 ","  Chicago, Illinois ",1908-11-10,1970-04-01,61.389350910696315,67.14169353237918
28,Floyd Cramer,2003-01-01,https://countrymusichalloffame.org/artist/floyd-cramer/,"Birth: October 27, 1933 - Death: December 31, 1997 ","  Shreveport, Louisiana ",1933-10-27,1997-12-31,64.17927815081761,69.18143425258562
29,Vernon Dalhart,1981-01-01,https://countrymusichalloffame.org/artist/vernon-dalhart/,"Birth: April 6, 1883 - Death: September 14, 1948 ","  Jefferson, Texas ",1883-04-06,1948-09-14,65.44145328103932,97.74054224248273
30,Charlie Daniels,2016-01-01,https://countrymusichalloffame.org/artist/charlie-daniels/,"Birth: October 28, 1936 - Death: July 6, 2020 ","  Wilmington, North Carolina ",1936-10-28,2020-07-06,83.68960348261771,79.17753273510066
31,Jimmie Davis,1972-01-01,https://countrymusichalloffame.org/artist/jimmie-davis/,"Birth: September 11, 1899 - Death: November 5, 2000 ","  Beech Springs (near Quitman), Louisiana ",1899-09-11,2000-11-05,101.15197437319041,72.3053861475595
32,Jimmy Dean,2010-01-01,https://countrymusichalloffame.org/artist/jimmy-dean/,"Birth: August 10, 1928 - Death: June 13, 2010 ","  Olton, Texas ",1928-08-10,2010-06-13,81.84151625290048,81.39523741076134
33,Delmore Brothers,2001-01-01,https://countrymusichalloffame.org/artist/delmore-brothers/,,,,,,
34,Jim Denny,1966-01-01,https://countrymusichalloffame.org/artist/jim-denny/,Birth: 02-28-1911 - Death: 08-27-1963 ,"  Buffalo Valley, Tennessee ",,1963-08-27,,
35,Little Jimmy Dickens,1983-01-01,https://countrymusichalloffame.org/artist/little-jimmy-dickens/,"Birth: December 19, 1920 - Death: January 2, 2015 ","  Bolt, West Virginia ",1920-12-19,2015-01-02,94.03889196903427,62.035496964345604
36,Ralph Emery,2007-01-01,https://countrymusichalloffame.org/artist/ralph-emery/,"Birth: March 10, 1933 ","  McEwen, Tennessee ",,,,
37,The Everly Brothers,2001-01-01,https://countrymusichalloffame.org/artist/the-everly-brothers/,,,,,,
38,Flatt And Scruggs,1985-01-01,https://countrymusichalloffame.org/artist/flatt-and-scruggs/,,,,,,
39,Jim Foglesong,2004-01-01,https://countrymusichalloffame.org/artist/jim-foglesong/,"Birth: July 26, 1922 - Death: July 9, 2013 ","  Lundale, West Virginia ",1922-07-26,2013-07-09,90.95600867916521,81.43630601586617
40,Red Foley,1967-01-01,https://countrymusichalloffame.org/artist/red-foley/,"Birth: June 17, 1910 - Death: September 19, 1968 ","  Blue Lick, Kentucky ",1910-06-17,1968-09-19,58.25992320170845,56.54325550832666
41,Tennessee Ernie Ford,1990-01-01,https://countrymusichalloffame.org/artist/tennessee-ernie-ford/,"Birth: February 13, 1919 - Death: October 17, 1991 ","  Bristol, Tennessee ",1919-02-13,1991-10-17,72.67500359350295,70.88441241093247
42,Fred Foster,2016-01-01,https://countrymusichalloffame.org/artist/fred-foster/,"Birth: July 26, 1931 - Death: February 20, 2019 ","  Rutherford County, North Carolina ",1931-07-26,2019-02-20,87.5746935255344,84.43705209552557
43,Joseph Frank,1967-01-01,https://countrymusichalloffame.org/artist/joseph-frank/,"Birth: April 15, 1900 - Death: May 4, 1952 ","  Limestone County, Alabama ",1900-04-15,1952-05-04,52.05308801686551,66.71458003928896
44,Lefty Frizzell,1982-01-01,https://countrymusichalloffame.org/artist/lefty-frizzell/,"Birth: March 31, 1928 - Death: July 19, 1975 ","  Corsicana, Texas ",1928-03-31,1975-07-19,47.30008145273346,53.75606617521236
45,Connie B. Gay,1980-01-01,https://countrymusichalloffame.org/artist/connie-b-gay/,"Birth: August 22, 1914 - Death: December 4, 1989 ","  Lizard Lick, North Carolina ",1914-08-22,1989-12-04,75.28696687816998,65.36205397783664
46,Don Gibson,2001-01-01,https://countrymusichalloffame.org/artist/don-gibson/,"Birth: April 3, 1928 - Death: November 17, 2003 ","  Shelby, North Carolina ",1928-04-03,2003-11-17,75.62372944002956,72.74892708269164
47,Vince Gill,2007-01-01,https://countrymusichalloffame.org/artist/vince-gill/,"Birth: April 12, 1957 ","  Norman, Oklahoma ",,,,
48,Johnny Gimble,2018-01-01,https://countrymusichalloffame.org/artist/johnny-gimble/,"Birth: May 30, 1926 - Death: May 9, 2015 ","  Tyler, Texas ",1926-05-30,2015-05-09,88.94364702902865,91.59394101179353
49,Merle Haggard,1994-01-01,https://countrymusichalloffame.org/artist/merle-haggard/,"Birth: April 6, 1937 - Death: April 6, 2016 ","  Bakersfield, California ",1937-04-06,2016-04-06,79.00230668665338,56.74038481282983
50,Tom T. Hall,2008-01-01,https://countrymusichalloffame.org/artist/tom-t-hall/,"Birth: May 25, 1936 ","  Olive Hill, Kentucky ",,,,
51,Emmylou Harris,2008-01-01,https://countrymusichalloffame.org/artist/emmylou-harris/,"Birth: April 2, 1947 ","  Birmingham, Alabama ",,,,
52,George D. Hay,1966-01-01,https://countrymusichalloffame.org/artist/george-d-hay/,"Birth: November 9, 1895 - Death: May 8, 1968 ","  Attica, Indiana ",1895-11-09,1968-05-08,72.4943017310417,70.14517751904556
53,Homer and Jethro,2001-01-01,https://countrymusichalloffame.org/artist/homer-and-jethro/,,,,,,
54,Roy Horton,1982-01-01,https://countrymusichalloffame.org/artist/roy-horton/,"Birth: November 5, 1914 - Death: September 23, 2003 ","  Near Broad Top, Pennsylvania ",1914-11-05,2003-09-23,88.88341307487491,67.15812097442111
55,Harlan Howard,1997-01-01,https://countrymusichalloffame.org/artist/harlan-howard/,"Birth: September 8, 1927 - Death: March 3, 2002 ","  Detroit, Michigan ",1927-09-08,2002-03-03,74.48476012512235,69.31832960293504
56,Ferlin Husky,2010-01-01,https://countrymusichalloffame.org/artist/ferlin-husky/,"Birth: December 3, 1925 - Death: March 17, 2011 ","  Cantwell, Missouri ",1925-12-03,2011-03-17,85.28580326769202,84.08112418461707
57,Alan Jackson,2017-01-01,https://countrymusichalloffame.org/artist/alan-jackson/,"Birth: October 17, 1958 ","  Newnan, Georgia ",,,,
58,Sonny James,2006-01-01,https://countrymusichalloffame.org/artist/sonny-james/,"Birth: May 1, 1928 - Death: February 22, 2016 ","  Hackleburg, Alabama ",1928-05-01,2016-02-22,87.8128914351424,77.67168388125697
59,Waylon Jennings,2001-01-01,https://countrymusichalloffame.org/artist/waylon-jennings/,"Birth: June 15, 1937 - Death: February 13, 2002 ","  Littlefield, Texas ",1937-06-15,2002-02-13,64.66662559806156,63.54955953921025
60,George Jones,1992-01-01,https://countrymusichalloffame.org/artist/george-jones/,"Birth: September 12, 1931 - Death: April 26, 2013 ","  Saratoga, Texas ",1931-09-12,2013-04-26,81.62248369234139,60.30513973592887
61,Grandpa Jones,1978-01-01,https://countrymusichalloffame.org/artist/grandpa-jones/,"Birth: October 20, 1913 - Death: February 19, 1998 ","  Niagra, Kentucky ",1913-10-20,1998-02-19,84.335749536267,64.20118140687352
62,Jordanaires,2001-01-01,https://countrymusichalloffame.org/artist/jordanaires/,,,,,,
63,Pee Wee King,1974-01-01,https://countrymusichalloffame.org/artist/pee-wee-king/,"Birth: February 18, 1914 - Death: March 7, 2000 ","  Milwaukee, Wisconsin ",1914-02-18,2000-03-07,86.04967932264181,59.8698125218177
64,Kris Kristofferson,2004-01-01,https://countrymusichalloffame.org/artist/kris-kristofferson/,"Birth: June 22, 1936 ","  Brownsville, Texas ",,,,
65,Don Law,2001-01-01,https://countrymusichalloffame.org/artist/don-law/,"Birth: February 24, 1902 - Death: December 20, 1982 ","  London, England ",1902-02-24,1982-12-20,80.82027693929376,98.85487039432705
66,Brenda Lee,1997-01-01,https://countrymusichalloffame.org/artist/brenda-lee/,"Birth: December 11, 1944 ","  Atlanta, Georgia ",,,,
67,Hubert Long,1979-01-01,https://countrymusichalloffame.org/artist/hubert-long/,"Birth: December 3, 1923 - Death: September 7, 1972 ","  Poteet, Texas ",1923-12-03,1972-09-07,48.76486170147231,55.0812131665948
68,The Louvin Brothers,2001-01-01,https://countrymusichalloffame.org/artist/the-louvin-brothers/,,,,,,
69,Loretta Lynn,1988-01-01,https://countrymusichalloffame.org/artist/loretta-lynn/,"Birth:  April 14, 1935 ","  Butcher Holler, Kentucky ",,,,
70,Uncle David Macon,1966-01-01,https://countrymusichalloffame.org/artist/uncle-david-macon/,"Birth: October 7, 1870 - Death: March 22, 1952 ","  Smart Station, Warren County, Tennessee ",1870-10-07,1952-03-22,81.45547136491508,95.23535733108825
71,Barbara Mandrell,2009-01-01,https://countrymusichalloffame.org/artist/barbara-mandrell/,"Birth: December 25, 1948 ","  Houston, Texas ",,,,
72,Grady Martin,2015-01-01,https://countrymusichalloffame.org/artist/grady-martin/,"Birth: January 17, 1929 - Death: December 3, 2001 ","  Marshall County, Tennessee ",1929-01-17,2001-12-03,72.87760871202009,85.9565904844042
73,Charlie McCoy,2009-01-01,https://countrymusichalloffame.org/artist/charlie-mccoy/,"Birth: March 28, 1941 ","  Oak Hill, West Virginia ",,,,
74,Reba McEntire,2011-01-01,https://countrymusichalloffame.org/artist/reba-mcentire/,"Birth: March 28, 1955 ","  McAlester, Oklahoma ",,,,
75,Roger Miller,1995-01-01,https://countrymusichalloffame.org/artist/roger-miller/,"Birth: January 2, 1936 - Death: October 25, 1992 ","  Fort Worth, Texas ",1936-01-02,1992-10-25,56.814308302018524,58.99915809359535
76,Ronnie Milsap,2014-01-01,https://countrymusichalloffame.org/artist/ronnie-milsap/,"Birth: January 16, 1943 ","  Robbinsville, North Carolina ",,,,
77,Bill Monroe,1970-01-01,https://countrymusichalloffame.org/artist/bill-monroe/,"Birth: September 13, 1911 - Death: September 9, 1996 ","  Rosine, Kentucky ",1911-09-13,1996-09-09,84.99284721794425,58.30372971382027
78,Patsy Montana,1996-01-01,https://countrymusichalloffame.org/artist/patsy-montana/,"Birth: October 30, 1908 - Death: May 3, 1996 ","  Hope, Arkansas ",1908-10-30,1996-05-03,87.50898375736668,87.17222119550709
79,George Morgan,1998-01-01,https://countrymusichalloffame.org/artist/george-morgan/,"Birth: June 28, 1924 - Death: July 7, 1975 ","  Waverly, Tennessee ",1924-06-28,1975-07-07,51.02363498223783,73.51280313764143
80,Ken Nelson,2001-01-01,https://countrymusichalloffame.org/artist/ken-nelson/,"Birth: January 19, 1911 - Death: January 6, 2008 ","  Caledonia, Minnesota ",1911-01-19,2008-01-06,96.96571455950499,89.95393471460741
81,Willie Nelson,1993-01-01,https://countrymusichalloffame.org/artist/willie-nelson/,"Birth: April 29, 1933 ","  Abbott, Texas ",,,,
82,Oak Ridge Boys,2015-01-01,https://countrymusichalloffame.org/artist/oak-ridge-boys/,,,,,,
83,Buck Owens,1996-01-01,https://countrymusichalloffame.org/artist/buck-owens/,"Birth: August 12, 1929 - Death: March 25, 2006 ","  Sherman, Texas ",1929-08-12,2006-03-25,76.6175896835664,66.38876910545733
84,Dolly Parton,1999-01-01,https://countrymusichalloffame.org/artist/dolly-parton/,"Birth: January 19, 1946 ","  Locust Ridge, Tennessee ",,,,
85,Minnie Pearl,1975-01-01,https://countrymusichalloffame.org/artist/minnie-pearl/,"Birth: October 25, 1912 - Death: March 4, 1996 ","  Centerville, Tennessee ",1912-10-25,1996-03-04,83.3583167347721,62.18608184972997
86,Ralph Peer,1984-01-01,https://countrymusichalloffame.org/artist/ralph-peer/,"Birth: May 22, 1892 - Death: January 19, 1960 ","  Kansas City, Missouri ",1892-05-22,1960-01-19,67.6591579567,91.61036845383546
87,Sam Phillips,2001-01-01,https://countrymusichalloffame.org/artist/sam-phillips/,"Birth: January 5, 1923 - Death: July 30, 2003 ","  Florence, Alabama ",1923-01-05,2003-07-30,80.56565158764383,77.99201900107462
88,Webb Pierce,2001-01-01,https://countrymusichalloffame.org/artist/webb-pierce/,"Birth: August 8, 1921 - Death: February 24, 1991 ","  West Monroe, Louisiana ",1921-08-08,1991-02-24,69.54831379152208,79.4020411096737
89,Elvis Presley,1998-01-01,https://countrymusichalloffame.org/artist/elvis-presley/,"Birth: January 8, 1935 - Death: August 16, 1977 ","  Tupelo, Mississippi ",1935-01-08,1977-08-16,42.604570935748164,62.98281278876363
90,Frances Preston,1992-01-01,https://countrymusichalloffame.org/artist/frances-preston/,"Birth: August 27, 1928 - Death: June 13, 2012 ","  Nashville, Tennessee ",1928-08-27,2012-06-13,83.79638185589026,63.3469544206931
91,Ray Price,1996-01-01,https://countrymusichalloffame.org/artist/ray-price/,"Birth: January 12, 1926 - Death: December 16, 2013 ","  Perryville, Texas ",1926-01-12,2013-12-16,87.92788352943592,69.9699514705983
92,Charley Pride,2000-01-01,https://countrymusichalloffame.org/artist/charley-pride/,"Birth: March 18, 1934 ","  Sledge, Mississippi ",,,,
93,​Jerry Reed,2017-01-01,https://countrymusichalloffame.org/artist/%e2%80%8bjerry-reed/,,,,,,
94,Jim Reeves,1967-01-01,https://countrymusichalloffame.org/artist/jim-reeves/,"Birth: August 20, 1923 - Death: July 31, 1964 ","  Panola County, Texas ",1923-08-20,1964-07-31,40.94813719652012,43.36844699069796
95,Tex Ritter,1964-01-01,https://countrymusichalloffame.org/artist/tex-ritter/,"Birth: January 12, 1905 - Death: January 2, 1974 ","  Panola County, Texas ",1905-01-12,1974-01-02,68.97335332005449,58.969041116518476
96,Hargus “Pig” Robbins,2012-01-01,https://countrymusichalloffame.org/artist/hargus-pig-robbins/,"Birth: January 18, 1938 ","  Rhea County, Tennessee ",,,,
97,Marty Robbins,1982-01-01,https://countrymusichalloffame.org/artist/marty-robbins/,"Birth: September 26, 1925 - Death: December 8, 1982 ","  Near Glendale, Arizona ",1925-09-26,1982-12-08,57.2003531900039,56.26672690062082
98,Jimmie Rodgers,1961-01-01,https://countrymusichalloffame.org/artist/jimmie-rodgers/,"Birth: September 8, 1897 - Death: May 26, 1933 ","  Meridian, Mississippi ",1897-09-08,1933-05-26,35.710521092151104,63.31409953660924
99,Kenny Rogers,2013-01-01,https://countrymusichalloffame.org/artist/kenny-rogers/,"Birth: August 21, 1938 - Death: March 20, 2020 ","  Houston, Texas ",1938-08-21,2020-03-20,81.58141508723656,74.36703012382185
100,Roy Rogers,1988-01-01,https://countrymusichalloffame.org/artist/roy-rogers/,"Birth: November 5, 1911 - Death: July 6, 1998 ","  Cincinnati, Ohio ",1911-11-05,1998-07-06,86.66844630622121,76.15762130639233
101,Fred Rose,1961-01-01,https://countrymusichalloffame.org/artist/fred-rose/,"Birth: August 24, 1898 - Death: December 1, 1954 ","  Evansville, Indiana ",1898-08-24,1954-12-01,56.269464807627806,62.35583208416326
102,Wesley Rose,1986-01-01,https://countrymusichalloffame.org/artist/wesley-rose/,"Birth: February 11, 1918 - Death: April 26, 1990 ","  Chicago, Illinois ",1918-02-11,1990-04-26,72.20408358830092,67.88914214528704
103,Arthur E. Satherley,1971-01-01,https://countrymusichalloffame.org/artist/arthur-e-satherley/,"Birth: October 19, 1889 - Death: February 10, 1986 ","  Bristol, England ",1889-10-19,1986-02-10,96.31135478483473,81.20084601326516
104,Don Schlitz,2017-01-01,https://countrymusichalloffame.org/artist/don-schlitz/,"Birth: August 29, 1952 ","  Durham, North Carolina ",,,,
105,Jean Shepard,2011-01-01,https://countrymusichalloffame.org/artist/jean-shepard/,"Birth: November 21, 1933 - Death: September 25, 2016 ","  Pauls Valley, Oklahoma ",1933-11-21,2016-09-25,82.84632812446526,77.11315085183132
106,Billy Sherrill,2010-01-01,https://countrymusichalloffame.org/artist/billy-sherrill/,"Birth: November 5, 1936 - Death: August 4, 2015 ","  Phil Campbell, Alabama ",1936-11-05,2015-08-04,78.74494342799647,73.15687522673292
107,Stephen Sholes,1967-01-01,https://countrymusichalloffame.org/artist/stephen-sholes/,"Birth: February 12, 1911 - Death: April 22, 1968 ","  Washington, D.C. ",1911-02-12,1968-04-22,57.19213946898294,55.886157826649416
108,Ricky Skaggs,2018-01-01,https://countrymusichalloffame.org/artist/ricky-skaggs/,"Birth: July 18, 1954 ","  Cordell, Kentucky ",,,,
109,Carl Smith,2003-01-01,https://countrymusichalloffame.org/artist/carl-smith/,"Birth: March 15, 1927 - Death: January 16, 2010 ","  Maynardville, Tennessee ",1927-03-15,2010-01-16,82.84359021745827,75.80169339548382
110,Connie Smith,2012-01-01,https://countrymusichalloffame.org/artist/connie-smith/,"Birth: August 14, 1941 ","  Elkhart, Indiana ",,,,
111,Hank Snow,1979-01-01,https://countrymusichalloffame.org/artist/hank-snow/,"Birth: May 9, 1914 - Death: December 20, 1999 ","  Brooklyn, Nova Scotia, Canada ",1914-05-09,1999-12-20,85.61709001553763,64.65019815601963
112,Sons of the Pioneers,1980-01-01,https://countrymusichalloffame.org/artist/sons-of-the-pioneers/,,,,,,
113,Jack Stapp,1989-01-01,https://countrymusichalloffame.org/artist/jack-stapp/,"Birth: December 8, 1912 - Death: December 20, 1980 ","  Nashville, Tennessee ",1912-12-08,1980-12-20,68.03425121665742,76.06727037516171
114,Ray Stevens,2019-01-01,https://countrymusichalloffame.org/artist/ray-stevens/,"Birth: January 24, 1939 ","  Clarkdale, Georgia ",,,,
115,Cliffie Stone,1989-01-01,https://countrymusichalloffame.org/artist/cliffie-stone/,"Birth: March 1, 1917 - Death: January 17, 1998 ","  Stockton, California ",1917-03-01,1998-01-17,80.8832488004545,71.83994195637145
116,Ernest V. “Pop” Stoneman,2008-01-01,https://countrymusichalloffame.org/artist/ernest-v-pop-stoneman/,"Birth: May 25, 1893 - Death: June 14, 1968 ","  Monarat, Virginia ",1893-05-25,1968-06-14,75.05424478257596,114.60331149852496
117,George Strait,2006-01-01,https://countrymusichalloffame.org/artist/george-strait/,"Birth: May 18, 1952 ","  Poteet, Texas ",,,,
118,The Duke of Paducah,1986-01-01,https://countrymusichalloffame.org/artist/the-duke-of-paducah/,"Birth: May 12, 1901 - Death: June 20, 1986 ","  DeSoto, Missouri ",1901-05-12,1986-06-20,85.10783931223776,84.64239512104972
119,The Statler Brothers,2008-01-01,https://countrymusichalloffame.org/artist/the-statler-brothers/,Happy Birthday U.S.A.,,,,,
120,Hank Thompson,1989-01-01,https://countrymusichalloffame.org/artist/hank-thompson/,"Birth: September 3, 1925 - Death: November 6, 2007 ","  Waco, Texas ",1925-09-03,2007-11-06,82.17554090775307,63.33052697865117
121,Mel Tillis,2007-01-01,https://countrymusichalloffame.org/artist/mel-tillis/,"Birth: August 8, 1932 - Death: November 19, 2017 ","  Tampa, Florida ",1932-08-08,2017-11-19,85.28306536068503,74.39988500790571
122,Floyd Tillman,1984-01-01,https://countrymusichalloffame.org/artist/floyd-tillman/,"Birth: December 8, 1914 - Death: August 22, 2003 ","  Ryan, Oklahoma ",1914-12-08,2003-08-22,88.70544911942066,69.06644215829209
123,Merle Travis,1977-01-01,https://countrymusichalloffame.org/artist/merle-travis/,"Birth: November 29, 1917 - Death: October 20, 1983 ","  Rosewood, Kentucky ",1917-11-29,1983-10-20,65.89047003018543,59.09224693183296
124,Randy Travis,2016-01-01,https://countrymusichalloffame.org/artist/randy-travis/,"Birth: May 4, 1959 ","  Marshville, North Carolina ",,,,
125,Ernest Tubb,1965-01-01,https://countrymusichalloffame.org/artist/ernest-tubb/,"Birth: February 9, 1914 - Death: September 6, 1984 ","  Near Crisp, Texas ",1914-02-09,1984-09-06,70.57502891914277,50.89495335290937
126,Grant Turner,1981-01-01,https://countrymusichalloffame.org/artist/grant-turner/,"Birth: May 17, 1912 - Death: October 19, 1991 ","  Baird, Texas ",1912-05-17,1991-10-19,79.42394436572962,68.62837703717393
127,Conway Twitty,1999-01-01,https://countrymusichalloffame.org/artist/conway-twitty/,"Birth: September 1, 1933 - Death: June 5, 1993 ","  Friars Point, Mississippi ",1933-09-01,1993-06-05,59.76029624153816,65.33467490776675
128,Porter Wagoner,2002-01-01,https://countrymusichalloffame.org/artist/porter-wagoner/,"Birth: August 12, 1927 - Death: October 28, 2007 ","  Howell County, Missouri ",1927-08-12,2007-10-28,80.21246158374231,74.39167128688474
129,Cindy Walker,1997-01-01,https://countrymusichalloffame.org/artist/cindy-walker/,"Birth: July 20, 1918 - Death: March 23, 2006 ","  Mart, Texas ",1918-07-20,2006-03-23,87.67599608479298,78.45472528525569
130,Jo Walker-Meador,1995-01-01,https://countrymusichalloffame.org/artist/jo-walker-meador/,"Birth: February 16, 1924 - Death: August 16, 2017 ","  Orlinda, Tennessee ",1924-02-16,2017-08-16,93.49952428865754,70.87619868991149
131,Kitty Wells,1976-01-01,https://countrymusichalloffame.org/artist/kitty-wells/,"Birth: August 30, 1919 - Death: July 16, 2012 ","  Nashville, Tennessee ",1919-08-30,2012-07-16,92.88075730507813,56.34065038980951
132,E. W. “Bud” Wendell,1998-01-01,https://countrymusichalloffame.org/artist/e-w-bud-wendell/,"Birth: August 17, 1927 ","  Akron, Ohio ",,,,
133,Dottie West,2018-01-01,https://countrymusichalloffame.org/artist/dottie-west/,"Birth: October 11, 1932 - Death: September 4, 1991 ","  McMinnville, Tennessee ",1932-10-11,1991-09-04,58.89785553433678,85.22556931353826
134,Don Williams,2010-01-01,https://countrymusichalloffame.org/artist/don-williams/,"Birth: May 27, 1939 - Death: September 8, 2017 ","  Floydada, Texas ",1939-05-27,2017-09-08,78.28771295782938,70.60240798921265
135,Hank Williams,1961-01-01,https://countrymusichalloffame.org/artist/hank-williams/,"Birth: September 17, 1923 - Death: January 1, 1953 ","  Mount Olive, Alabama ",1923-09-17,1953-01-01,29.292867067770043,37.29303134219046
136,Bob Wills,1968-01-01,https://countrymusichalloffame.org/artist/bob-wills/,"Birth: March 6, 1905 - Death: May 13, 1975 ","  Kosse, Texas ",1905-03-06,1975-05-13,70.18624612415039,62.8240141823583
137,Mac Wiseman,2014-01-01,https://countrymusichalloffame.org/artist/mac-wiseman/,"Birth: May 23, 1925 - Death: February 24, 2019 ","  Crimora, Virginia ",1925-05-23,2019-02-24,93.75962545432144,88.61236028118304
138,Tammy Wynette,1998-01-01,https://countrymusichalloffame.org/artist/tammy-wynette/,"Birth: May 5, 1942 - Death: April 6, 1998 ","  Itawamba County, Mississippi ",1942-05-05,1998-04-06,55.921750617740265,55.66164945207636
139,Faron Young,2000-01-01,https://countrymusichalloffame.org/artist/faron-young/,"Birth: February 25, 1932 - Death: December 10, 1996 ","  Shreveport, Louisiana ",1932-02-25,1996-12-10,64.79256932038304,67.8508114471892
